78
3;3;0.8;2
4;1;0.5;1
5;7;44.0;3
6;1;5.0;2
7;1;5.0;1
8;1;8.0;5
9;6;8.0;5
10;6;500.0;1
11;6;55.0;2
12;7;2.0;5
13;5;5.0;9
14;7;25000.0;2
15;0;5.0;4
16;0;5.0;4
17;0;5.0;4
18;0;5555555.0;4
19;0;5888464664.0;4
20;0;5.0;2
21;4;5.0;2
22;0;5.0;2
23;6;1.0;2
24;6;5.0;2
25;0;5.0;1
26;0;5.0;2
27;0;8.0;5
28;0;8.0;12
29;0;5.0;12
30;1;5.0;12
31;1;57.0;4
32;1;10.0;5
33;1;10.0;5
34;1;10.0;2
35;1;4.0;2
36;1;10.0;5
37;1;10.0;2
38;1;10.0;5
39;1;10.0;2
40;1;10.0;5
41;1;100.0;9
42;1;10.0;5
43;1;10.0;5
44;1;15.0;5
45;1;10.0;5
46;1;10.0;5
47;1;10.0;5
48;1;10.0;21
49;1;10.0;9
50;6;15.0;12
51;1;15.0;4
52;1;22.0;2
53;6;124.65;13
54;1;1.0;2
55;0;12.0;5
56;4;12.0;5
57;0;12.0;4
58;7;12.0;4
59;7;12.0;4
60;7;12.0;4
61;7;12.0;4
62;7;12.0;4
63;7;12.0;4
64;7;14.0;3
65;7;11.0;5
66;7;12.0;5
67;0;5.0;4
68;0;5.0;4
69;0;2.0;4
70;4;2.0;4
71;5;3.0;2
72;5;4.5;3
73;5;5.55;3
74;5;22.0;3
75;9;7.8;13
76;2;2.66;16
77;6;33.0;3
78;1;40.0;2
79;0;1.0;4
80;1;1.0;4
